||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
1|40539|Chamee Hotel - MON|800|.5|0|0|0|0|0|800|0|0|0|
2|40540|Mallika st - TUE|405|0|0|0|0|0|0|405|0|0|0|
3|40551|Sarwodaya co-op shop - THU|5725|9.34|0|0|635.07|0|0|5725|0|0|0|
4|40552|Thilina st - THU|180|0|0|0|0|0|0|180|0|0|0|
5|40553|Dinuka st - FRI|10398|1.49|0|0|433.19|0|0|10398|0|0|0|
6|40555|Gamage st - Hiniduma - SAT|27953|25.07|0|0|1782.63|0|0|0|0|0|27953|
7|40556|Elawalu kade - TUE|540|0|0|0|0|0|0|540|0|0|0|
8|40608|Rasindu st - MON|328|-.5|0|0|0|0|0|328|0|0|0|
9|40609|Vishaka st - MON|540|0|0|0|0|0|0|540|0|0|0|
10|40610|Chamara T Room - MON|858|1.05|493.05|0|0|0|0|858|0|0|0|
11|40611|Madurasinghe st - MON|36|0|324|0|0|0|0|36|0|0|0|
12|40613|Rathnasiri st - MON|11978|-.66|0|0|764.6|0|0|0|0|0|11978|
13|40614|Pasindu st - MON|8786.3|23|0|0|0|0|0|0|0|0|8786.3|
14|40615|K.K.G. st - MON|270|0|0|0|0|0|0|270|0|0|0|
15|40617|Jagath T/R - MON|507|4.5|0|0|0|0|0|507|0|0|0|
16|40618|Palitha Grocery - MON|9661|-.57|229.5|0|402.57|0|0|0|0|0|9661|
17|40619|Sena Stores - MON|5503|-.16|362.35|0|0|0|0|5503|0|0|0|
18|40621|Gayan st - MON|1362|4.5|0|0|0|0|0|1362|0|0|0|
19|40622|Lakindu st - MON|2862|0|0|0|0|0|0|0|0|0|2862|
20|40623|S .G .St - MON|20092|31.09|570.3|0|835.87|0|0|0|0|0|20092|
21|40625|Sanasa - MON|1254|3|0|0|0|0|0|1254|0|0|0|
22|40626|Gamage st - MON|760|8.88|657.4|0|0|0|0|0|0|0|760|
23|40627|Pahan T/R - MON|2417|-1.04|0|0|0|0|0|2417|0|0|0|
24|40628|Isuru St - MON|3397|6.98|0|0|0|0|0|0|0|0|3397|
25|40629|Pathirana St - MON|3675|.5|0|0|0|0|0|0|0|0|3675|
26|40630|Liyanage st - Thawalama - WED|9808|3.5|0|0|408.52|0|0|0|9808|0|0|
27|40631|Abaya st - WED|4770|-2.58|0|0|0|0|0|0|0|0|4770|
28|40632|Ajantha st - WED|430|-14|490.5|0|0|0|0|430|0|0|0|
29|40633|Disanayaka st - WED|4278|-.08|0|0|0|0|0|0|0|0|4278|
30|40635|Wickrama B/S - Thawalama - WED|144|0|0|0|0|0|0|144|0|0|0|
31|40636|Wickrama B/S - WED|312|.09|464.64|0|0|0|0|312|0|0|0|
32|40637|Singhe st - WED|6921|-.45|0|0|288.39|0|0|6284|0|0|637|
33|40638|Jayamini T/R - WED|675|0|0|0|0|0|0|675|0|0|0|
34|40639|Sarasi B/S - WED|864|0|0|0|0|0|0|864|0|0|0|
35|40640|Wickrama st - WED|4809|-2.33|45|0|200.47|0|0|4809|0|0|0|
36|40652|Taniya st - THU|3189|-.6|306|0|0|0|0|2334|0|0|855|
37|40653|Wasana Hotel - THU|2021|1|0|0|0|0|0|2021|0|0|0|
38|40654|Chinthana st - THU|3348|-.62|0|0|0|0|0|3348|0|0|0|
39|40655|Lakshan T/R - THU|439|-.5|0|0|0|0|0|439|0|0|0|
40|40657|Shanthi st - THU|1986|.73|235.88|0|0|0|0|1986|0|0|0|
41|40658|Prabuddha st - THU|833|.5|0|0|0|0|0|833|0|0|0|
42|40659|Jeewantha st - THU|473|.5|0|0|0|0|0|473|0|0|0|
43|40660|Pansal Watta st - THU|1701|0|0|0|0|0|0|0|0|0|1701|
44|40661|Muthumina st - THU|1008|0|405|0|0|0|0|0|0|0|1008|
45|40662|Wije st - THU|2560|0|0|0|0|0|0|2560|0|0|0|
46|40663|Priyantha st - THU|5428|-.21|0|0|226.18|0|0|0|5428|0|0|
47|40664|Dananjaya st - THU|3420|0|0|0|0|0|0|0|0|0|3420|
48|40665|Amila st - THU|540|0|0|0|0|0|0|540|0|0|0|
49|40666|Gunawardana st - THU|6788|.56|0|0|282.81|0|0|0|0|0|6788|
