1370,Deniyagedar,Kottawa Yatalamatta
1369,Co op- Rukmallgoda,Yatalamattha Banbarapura
1368,Gala uda kade,Yatalamattha Banbarapura
1367,Sahabandu st,Dangedara  Elliot Road
1366,Thilina st,Wanduramba Ovilana
1365,Premasiri st,Thalagaha Kuruduwatta
1364,Nalin st,Thalagaha Kuruduwatta
1363,Dasmika st,Thalagaha Kuruduwatta
1362,A.P.S. st,Thalagaha Kuruduwatta
1361,Priyadarshana st,Thalagaha Kuruduwatta
1360,Kasun st,Thalagaha Kuruduwatta
1359,Asoka st,Nagoda Unanvitiya
1358,Chandima st,Yatalamattha Banbarapura
1357,Vithana Hotel,Yatalamattha Banbarapura
1356,Gunasena st,Dangedara  Elliot Road
1355,Alabada st,Wanduramba Ovilana
1354,New sampath st,Wanduramba Ovilana
1353,Kumudu st,Wanduramba Ovilana
1352,Wijewardana st,Thalagaha Kuruduwatta
1351,Gamini st,Thalagaha Kuruduwatta
1350,Jinapala st,Thalagaha Kuruduwatta
1349,Hirashi st,Thalagaha Kuruduwatta
1348,Paragahawatta st,Thalagaha Kuruduwatta
1347,Hiumi st,Thalagaha Kuruduwatta
1346,Gamini st,Wanduramba Ovilana
1345,Malani st,Narawala  Ambalanwatta
1344,Nimali st,Yatalamattha Banbarapura
1343,Jayasinghe st- Kibiya,Wanduramba Ovilana
1342,Hatharasinghe st,Wanduramba Ovilana
1341,Rangiri,Thalagaha Kuruduwatta
1340,Faruq st,Milidduwa Magalle
1339,Dilantha st,Kuruduwatta  Bataduwa
1338,Highland milk 2,Dangedara  Elliot Road
1337,Gammadda st,Kuruduwatta Kottawa
1336,Chenu F/C,Kuruduwatta Kottawa
1335,Kirikade,Wanduramba Ovilana
1334,Palaturu kade,Thalagaha Kuruduwatta
1333,Vihari st,Thalagaha Kuruduwatta
1332,Anamgodawatta st,Ovilana Labuduwa
1331,Guwani chinies,Kuruduwatta  Bataduwa
1330,Mulana st,Kuruduwatta  Bataduwa
1329,Shaheni st,Yatalamattha Banbarapura
1328,Lal st,Kuruduwatta Kottawa
1327,Chathuranga,Udugama
1326,Star Hotel,Milidduwa Magalle
1325,S.A. st,Milidduwa Magalle
1324,K.K. st,Milidduwa Magalle
1323,Gamage st,Nagoda Unanvitiya
1322,Situmina St,Kottawa Yatalamatta
1321,Tharidu Hotel,Kottawa Yatalamatta
1320,M.R.M. St,Dangedara  Elliot Road
1319,Laksiri st,Nagoda Unanvitiya
1318,Alawala st,Nagoda Unanvitiya
1317,H K P,Nagoda Unanvitiya
1316,Sadara St,Nagoda Unanvitiya
1315,Chandraka,Nagoda Unanvitiya
1314,Randina St,Nagoda Unanvitiya
1313,Wijesiri Nagoda,Nagoda Unanvitiya
1312,Hinappuhami st,Ovilana Labuduwa
1311,G.K.A.P st,Kottawa Yatalamatta
1310,N.A.P st,Kottawa Yatalamatta
1309,Jayaweera st,Kottawa Yatalamatta
1308,Masha Tea,Kuruduwatta  Bataduwa
1307,Chinthaka Gr.,Yatalamattha Banbarapura
1306,Ruhunu Gro.,Dangedara  Elliot Road
1305,Hewagamage st,Dangedara  Elliot Road
1304,H.s.piyadasa st,Wanduramba Ovilana
1303,Senewirathna st,Thalagaha Kuruduwatta
1302,Kavishka st,Milidduwa Magalle
1301,Abaya st,Ovilana Labuduwa
1300,New C.D st,Ovilana Labuduwa
1299,M.W.T.K st,Ovilana Labuduwa
1298,Priyantha st,Nagoda Unanvitiya
1297,Senur i st,Nagoda Unanvitiya
1296,Lakshan st,Nagoda Unanvitiya
1295,Midigaspe st,Kottawa Yatalamatta
1294,Pinnaduwa st,Kottawa Yatalamatta
1293,Udara st,Kottawa Yatalamatta
1292,W.H.P. T / R,Dangedara  Elliot Road
1291,Godikawaththa st,Yatalamattha Banbarapura
1290,Gamage st 2,Yatalamattha Banbarapura
1289,Shantha st,Yatalamattha Banbarapura
1288,Wasantha st,Yatalamattha Banbarapura
1287,Rathnasiri st,Wanduramba Ovilana
1286,Kumudu st,Thalagaha Kuruduwatta
