 Date : 11/16/15    Vehical : 42-3526  Udugama    By User : asiri
No|Item|Weight|Price|Units|BSC|BSP|LDC|LDP|ULC|ULP|RDC|RDP|BilP|Excs|Shrt
1|Gold Marie - 10/19/2015|  0.080|   26.25| 60|0|0|0|0|0|0|0|0|96|96|0
2|Chocolate Cream - 10/19/2015|  0.100|   43.25| 50|0|0|0|0|0|0|0|0|145|145|0
3|Cream Cracker - 10/19/2015|  0.130|   45.00| 48|0|0|0|0|0|0|0|0|210|210|0
4|Cream Cracker - 10/19/2015|  0.190|   67.50| 40|0|0|0|0|0|0|0|0|105|105|0
5|Cream Cracker - 10/19/2015|  0.500|  154.88|  8|0|0|0|0|0|0|0|0|60|60|0
6|Cream Cracker - 10/19/2015|  0.250|   90.00|  8|0|0|0|0|0|0|0|0|84|84|0
7|Lemon Puff - 10/19/2015|  0.200|   90.00| 30|0|0|0|0|0|0|0|0|30|30|0
8|Chocolate Puff - 10/19/2015|  0.100|   45.00| 30|0|0|0|0|0|0|0|0|6|6|0
9|Chocolate Puff - 10/19/2015|  0.200|   81.00| 30|0|0|0|0|0|0|0|0|24|24|0
10|Sorties - 10/19/2015|  0.070|   22.50| 60|0|0|0|0|0|0|0|0|12|12|0
11|Nice - 10/19/2015|  0.100|   39.60| 60|0|0|0|0|0|0|0|0|30|30|0
12|Hawaian Cookies - 10/19/2015|  0.200|   85.50| 24|0|0|0|0|0|0|0|0|12|12|0
13|Bran Cracker - 10/19/2015|  0.210|   90.00| 24|0|0|0|0|0|0|0|0|24|24|0
14|Chocolate Cream - 10/19/2015|  0.400|  164.35|  4|0|0|0|0|0|0|0|0|40|40|0
15|Custard Cream - 10/19/2015|  0.100|   38.93| 50|0|0|0|0|0|0|0|0|18|18|0
16|Orange Cream - 10/19/2015|  0.100|   38.93| 50|0|0|0|0|0|0|0|0|18|18|0
17|Inguru Biscuit - 10/19/2015|  0.080|   39.60| 50|0|0|0|0|0|0|0|0|18|18|0
18|Inguru Biscuit - 10/19/2015|  0.240|  105.60| 24|0|0|0|0|0|0|0|0|3|3|0
19|Inguru Biscuit - 10/19/2015|  0.370|  149.60|  6|0|0|0|0|0|0|0|0|10|10|0
20|Snackers-cheese & chilie - 10/19/2015|  0.030|   18.00| 80|0|0|0|0|0|0|0|0|30|30|0
21|Snackers- masala - 10/19/2015|  0.030|   18.00| 80|0|0|0|0|0|0|0|0|70|70|0
22|Snackers- spicy - 10/19/2015|  0.030|   18.00| 80|0|0|0|0|0|0|0|0|90|90|0
23|Nice - 10/19/2015|  0.440|  149.60|  4|0|0|0|0|0|0|0|0|16|16|0
24|Sorties - 10/19/2015|  0.330|  108.00|  4|0|0|0|0|0|0|0|0|24|24|0
25|Gift Selection - 10/19/2015|  0.400|  225.00| 10|0|0|0|0|0|0|0|0|10|10|0
26|Light Marie - 10/19/2015|  0.070|   18.00| 60|0|0|0|0|0|0|0|0|66|66|0
27|Light  Marie - 10/19/2015|  0.260|   81.00|  4|0|0|0|0|0|0|0|0|8|8|0
28|Wafers- Vanila - 10/19/2015|  0.100|   43.75| 20|0|0|0|0|0|0|0|0|3|3|0
29|Wafers-chocolate - 10/19/2015|  0.250|   96.25|  8|0|0|0|0|0|0|0|0|11|11|0
30|Wafers- vanila - 10/19/2015|  0.250|   96.25|  8|0|0|0|0|0|0|0|0|11|11|0
31|Wafers-chocolate - 10/19/2015|  0.400|  157.50|  4|0|0|0|0|0|0|0|0|3|3|0
32|Wafers-vanila - 10/19/2015|  0.400|  157.50| 10|0|0|0|0|0|0|0|0|5|5|0
33|Spicy Cracker - 10/19/2015|  0.080|   45.00| 30|0|0|0|0|0|0|0|0|6|6|0
34|Spicy Cracker - 10/19/2015|  0.150|   81.00| 30|0|0|0|0|0|0|0|0|15|15|0
35|Choco Sorties - 10/19/2015|  0.330|  108.00|  4|0|0|0|0|0|0|0|0|8|8|0
36|YoYo- Chocolate - 10/19/2015|  0.060|   18.00| 60|0|0|0|0|0|0|0|0|68|68|0
37|YoYo- Lemon - 10/19/2015|  0.060|   18.00| 60|0|0|0|0|0|0|0|0|50|50|0
38|YoYo- Vanila - 10/19/2015|  0.060|   18.00| 60|0|0|0|0|0|0|0|0|62|62|0
39|YoYo- Chocolate - 10/19/2015|  0.250|   81.00|  6|0|0|0|0|0|0|0|0|29|29|0
40|YoYo- Vanila - 10/19/2015|  0.250|   81.00|  6|0|0|0|0|0|0|0|0|16|16|0
41|Gem - 11/03/2015|  0.100|   35.20| 50|0|0|0|0|0|0|0|0|12|12|0
 
|Sales Value (Rs.)   :          87,897.38|Total Value (Rs.)   :         652,961.46
|Sales Tonnage (kg)  :             237.550|Total Tonnage (kg)  :           1,758.405
