|Month : 11 - 2015|||||||By user : asiri
|Date|Expiery|Damage|Free|GR|Varience|Bill Tol|Cash|Credit|Cheque|Income|Expenses|Balance|
1|11/30/15|-|-|154.88|-|-|4840.95|9628|-|-|9628|-|9628|
2|11/29/15|-|-|-|-|-.6|2106|26004|-|-|26004|-|26004|
3|11/28/15|149.6|-|2656.6|-|1.16|3419|37445|38921|-|37445|-|37445|
4|11/27/15|-|-|627.4|-|-.5|1276|49422|46853|-|49422|-|49422|
5|11/26/15|-|-|-|-|-|360|51851|22378|31621|115093|-|115093|
6|11/24/15|26.25|-|-|-|.76|7630|16590|42478.64|21154|57040|-|57040|
7|11/23/15|-|-|472.52|-|-.52|2482|50088|-|4770|59628|-|59628|
8|11/21/15|355.5|-|-|-|-.04|5196|58327|-|-|58327|-|58327|
9|11/20/15|-|-|657.4|-|-.69|1858|72336.38|-|-|72336.38|-|72336.38|
10|11/19/15|-|-|1564.56|-|-.79|4482|105618|-|63969|233556|-|233556|
11|11/18/15|-|-|-|-|.59|5070|43685|-|27337|98359|-|98359|
12|11/17/15|-|-|-|-|-.8|4060|35126|-|-|35126|-|35126|
13|11/16/15|-|-|-|-|-.5|1183|60065|-|-|60065|-|60065|
14|11/15/15|-|-|-|-|-.92|1726|57095|-|-|57095|-|57095|
15|11/14/15|-|-|1239.04|-|-|360|70802|-|-|70802|-|70802|
16|11/13/15|-|-|-|-|-.52|1159|93875|-|10845|115465|-|115465|
17|11/12/15|-|-|-|-|-.5|367|41171|-|15094|71359|-|71359|
18|11/11/15|-|-|-|-|-.25|3308|41824.7|-|17924|77672.7|-|77672.7|
19|11/10/15|-|-|-|-|-.5|2257|37967.7|-|8728|55423.7|-|55423.7|
20|11/09/15|-|-|-|-|-.73|602|39766|-|-|39766|-|39766|
21|11/07/15|81|-|1239.04|-|-.63|3782|19284|-|-|19284|-|19284|
22|11/06/15|-|-|-|-|.38|9643|71215|-|49083|169381|-|169381|
23|11/05/15|-|-|-|-|-.6|3189|59027|-|-|59027|-|59027|
24|11/04/15|-|-|1239.04|-|-2.33|4809|21245|-|2635|26515|-|26515|
25|11/03/15|-|-|-|-|-1.04|2417|41614.69|-|-|41614.69|-|41614.69|
26|11/02/15|164.35|-|-|-|-.6|1425|19010|-|-|19010|-|19010|

|Total|776.7|0|9850.48|0|-10.17|79006.95|1230082.47|150630.64|253160|1734444.47|0|1734444.47|
