||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
1|A00968|Yasarathna st - TUE|108|0|0|0|0|0|0|108|0|0|0|
2|A00975|Tharush st - TUE|675|0|0|0|0|0|0|675|0|0|0|
3|A00953|Ravindu st - TUE|4073|-.6|0|0|0|0|0|4073|0|0|0|
4|A00955|Isuru st - TUE|3505|-.22|0|0|0|0|0|3505|0|0|0|
5|A00961|Nimalasiri st - TUE|486|0|0|0|0|0|0|486|0|0|0|
6|A00973|Wijaya st - TUE|937|-.5|0|0|0|0|0|937|0|0|0|
7|A00972|Wasantha st - TUE|688|-.5|0|0|0|0|0|688|0|0|0|
8|A00959|Akuressa st - TUE|1138|-.69|0|0|0|0|0|1138|0|0|0|
9|A00958|S.T st - TUE|675|0|0|0|0|0|0|675|0|0|0|
10|A00956|T-ye st - TUE|540|0|0|0|0|0|0|540|0|0|0|
11|A00583|Gaganasiri st - TUE|1030|-.5|198|0|0|0|0|1030|0|0|0|
12|A00900|Chamilani st - TUE|2014|-.56|0|0|83.94|0|0|2014|0|0|0|
13|A00592|Senevirathne st - TUE|341|-.19|2473.25|0|0|0|0|341|0|0|0|
14|A00970|Jayasiri st - TUE|1375|-.5|0|0|0|0|0|1375|0|0|0|
15|A00971|Mahavita st - TUE|2635|-.5|81|0|0|0|0|0|2635|0|0|
16|A00963|Liyanage st - Habarakanda - TUE|1425|-.6|0|0|59.4|0|0|1425|0|0|0|
17|40608|Rasindu st - MON|328|-.5|0|0|0|0|0|328|0|0|0|
18|40609|Vishaka st - MON|540|0|0|0|0|0|0|540|0|0|0|
19|40610|Chamara T Room - MON|858|1.05|493.05|0|0|0|0|858|0|0|0|
20|40611|Madurasinghe st - MON|36|0|324|0|0|0|0|36|0|0|0|
21|40615|K.K.G. st - MON|270|0|0|0|0|0|0|270|0|0|0|
22|40617|Jagath T/R - MON|507|4.5|0|0|0|0|0|507|0|0|0|
23|40539|Chamee Hotel - MON|800|.5|0|0|0|0|0|800|0|0|0|
24|40621|Gayan st - MON|1362|4.5|0|0|0|0|0|1362|0|0|0|
25|40625|Sanasa - MON|1254|3|0|0|0|0|0|1254|0|0|0|
26|40627|Pahan T/R - MON|2417|-1.04|0|0|0|0|0|2417|0|0|0|
27|A00223|Isuru St - MON|6822|-.29|0|0|0|0|0|4822|0|0|0|
28|A00224|Pathirana St - MON|11039|-.73|0|0|459.99|0|0|6000|0|0|0|
29|A00230|S .G .St - MON|12066|-.66|1391.73|0|502.78|0|0|7000|0|0|0|
30|A00673|Palitha Grocery - MON|9462.3|0|229.5|0|0|0|0|.3|9462|0|0|
31|A00671|Sena Stores - MON|12802.69|0|1493.17|0|533.45|0|0|12802.69|0|0|0|
32|A00681|Pasindu st - MON|2618.08|0|0|0|0|0|0|2618.08|0|0|0|
33|A00954|Vithanage st - WED|23557|-.15|0|0|3287.49|0|1239.04|557|23000|0|0|
34|40632|Ajantha st - WED|430|-14|490.5|0|0|0|0|430|0|0|0|
35|40635|Wickrama B/S - Thawalama - WED|144|0|0|0|0|0|0|144|0|0|0|
36|40637|Singhe st - WED|6921|-.45|0|0|288.39|0|0|6284|0|0|637|
37|40638|Jayamini T/R - WED|675|0|0|0|0|0|0|675|0|0|0|
38|40639|Sarasi B/S - WED|864|0|0|0|0|0|0|864|0|0|0|
39|40640|Wickrama st - WED|4809|-2.33|45|0|200.47|0|0|4809|0|0|0|
40|A00753|Disanayaka st - WED|979|-.5|0|0|0|0|0|979|0|0|0|
41|A00703|Liyanage st - Thawalama - WED|14151|12.86|0|0|589.09|0|0|151|14000|0|0|
42|A00459|Chithra T/R - WED|3524|-.2|0|0|0|0|0|3524|0|0|0|
43|40630|Liyanage st - Thawalama - WED|9808|3.5|0|0|408.52|0|0|0|9808|0|0|
